county,state,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
Cannon ,TN,869,1698,1601,1849,1640,2099,2055,1542,828,281
Canyon ,ID,16732,36244,31740,30127,28424,25543,23927,18882,8882,2998
Cape Girardeau ,MO,4558,9466,13767,10078,8873,8860,9872,7419,4023,1837
Cape May ,NJ,4294,9045,9777,9657,8533,11095,15573,14096,7547,2943
Carbon ,MT,387,1109,994,915,1249,1293,2005,1706,748,308
Carbon ,PA,3084,6994,6630,7145,7203,9220,10326,7922,4066,1637
Carbon ,UT,1236,3080,2783,2391,2547,2018,2684,2145,998,387
Carbon ,WY,949,1917,1649,2157,1924,1647,2165,1585,721,257
Caribou ,ID,486,1166,882,792,902,724,874,705,383,146
Carlisle ,KY,321,588,484,534,558,600,663,544,338,141
Carlton ,MN,1870,4737,4102,4384,4555,4810,5243,3430,1900,806
Caroline ,MD,2013,4518,3876,4273,3914,4481,4819,3188,1608,614
Caroline ,VA,2018,3971,3245,4278,3840,4082,4288,3057,1459,534
Carroll ,AR,1654,3372,3160,2986,2975,3364,4168,3997,1911,636
Carroll ,GA,7583,15507,19894,16027,14374,14875,13781,9767,4852,1461
Carroll ,IL,734,1525,1482,1449,1508,1699,2264,2008,1140,503
Carroll ,IN,1086,2558,2319,2206,2335,2634,3040,2308,1196,445
Carroll ,IA,1327,2821,2308,2146,2193,2336,2928,2048,1297,750
Carroll ,KY,789,1593,1291,1285,1303,1370,1471,980,465,190
Carroll ,MD,9185,20227,21199,19592,19186,25326,25336,16397,8392,3589
Carroll ,MS,428,1068,1052,1049,1116,1267,1583,1362,742,244
Carroll ,MO,511,1132,1050,880,984,1076,1204,1074,589,243
Carroll ,NH,1813,4387,4434,4443,4467,6387,9236,8326,3757,1529
Carroll ,OH,1375,3198,3025,2800,2949,3583,4431,3296,1732,692
Carroll ,TN,1572,3406,3806,3130,2912,3658,3837,3285,1748,666
Carroll ,VA,1300,3068,2972,2970,3155,4230,4682,4209,2274,776
Carson ,TX,324,840,727,648,735,690,868,662,386,125
Carson City,NV,3150,6239,6230,7292,6176,6998,8068,6578,3427,1256
Carter ,KY,1724,3324,3332,3070,3146,3618,3725,2992,1595,478
Carter ,MO,389,786,684,613,690,765,920,733,342,132
Carter ,MT,91,130,104,147,109,113,225,162,105,52
Carter ,OK,3285,6721,5973,6114,5886,5780,6315,4518,2567,1018
Carter ,TN,2534,5882,5862,6971,6349,8063,8326,7031,3921,1412
Carteret ,NC,2869,7074,6643,7099,7556,9231,11689,10540,5027,1796
Carver ,MN,6799,15919,13355,10981,14884,15359,13811,7461,3420,1562
Cascade ,MT,5436,10112,10311,11762,9064,8787,11011,8502,4660,1998
Casey ,KY,1036,1996,1802,1834,1826,2097,2100,1899,946,352
Cass ,IL,812,1616,1455,1463,1515,1561,1650,1181,693,314
Cass ,IN,2380,4750,4742,4339,4677,5003,5311,3749,2094,910
Cass ,IA,691,1695,1379,1317,1404,1460,1987,1537,990,470
Cass ,MI,2508,6142,6025,5316,5631,7067,8102,6681,3181,1000
Cass ,MN,1618,3570,2825,2740,2834,3272,5001,4546,2373,740
Cass ,MO,6432,14420,12558,12476,13138,13590,14648,9889,5569,2234
Cass ,NE,1544,3619,3008,2716,3233,3463,3999,2790,1243,544
Cass ,ND,12904,22210,31507,31774,23719,18771,18837,12651,5791,3352
Cass ,TX,1800,3780,3422,3069,3273,3828,4287,3692,2174,794
Cassia ,ID,1882,4351,3483,2903,2882,2329,2643,1896,1078,417
Castro ,TX,558,1259,1173,860,870,765,968,622,424,166
Caswell ,NC,1097,2360,2427,2618,2499,3195,3621,2894,1479,508
Catahoula Parish,LA,549,1172,1116,1388,1217,1130,1357,989,526,164
Catawba ,NC,8919,19732,19715,18821,18528,22474,22126,16903,8470,2964
Catoosa ,GA,3715,8838,8098,8181,8490,9388,8756,6947,3806,1201
Catron ,NM,110,232,284,230,218,282,736,903,464,119
Cattaraugus ,NY,4272,9622,10002,8478,8339,9718,11680,8587,4296,1846
Cavalier ,ND,270,450,394,362,328,407,586,517,335,180
Cayuga ,NY,3846,8483,9214,9687,8871,10344,11950,8487,4243,2020
Cecil ,MD,5825,13132,12476,13102,12004,14846,15255,10046,4546,1594
Cedar ,IA,979,2336,2072,1977,2325,2379,2889,2001,1077,592
Cedar ,MO,979,1823,1587,1384,1409,1658,2017,1816,1097,395
Cedar ,NE,567,1216,979,787,798,943,1348,890,577,341
Centre ,PA,6301,13760,43035,22557,17417,18002,18538,13143,6964,3088
Cerro Gordo ,IA,2344,5018,4836,4782,4686,4976,6719,5017,2744,1525
Chaffee ,CO,746,1713,1782,2521,2414,2429,3338,3187,1342,555
Chambers ,AL,1929,3866,3893,4231,3775,4409,4950,3840,1973,749
Chambers ,TX,3004,6788,5764,5634,6043,5463,4748,3246,1335,429
Champaign ,IL,11527,21281,55048,30109,22863,20120,22105,15726,7480,3724
Champaign ,OH,2051,4901,4888,4475,4335,5435,5636,4053,2214,766
Chariton ,MO,449,943,776,734,779,820,1188,877,558,327
Charles ,MD,9612,22043,21020,20995,20699,25463,21473,12348,5835,2015
Charles City ,VA,257,585,645,744,659,1031,1312,1054,477,177
Charles Mix ,SD,826,1554,1179,962,915,962,1225,847,572,296
Charleston ,SC,23970,43864,47350,68706,53290,48703,53401,41337,18111,7173
Charlevoix ,MI,1115,2857,2848,2612,2646,3227,4540,3782,1908,709
Charlotte ,FL,5536,12306,13625,14343,13545,19412,31837,39577,25215,9602
Charlotte ,VA,657,1405,1324,1227,1181,1571,1919,1468,850,336
Charlottesville city,VA,2764,3879,10354,9792,6002,4909,4837,3521,1474,585
Charlton ,GA,664,1446,1612,2101,1681,1743,1649,1175,669,228
Chase ,KS,135,300,308,281,264,297,383,353,209,99
Chase ,NE,259,585,438,395,459,434,593,389,267,158
Chatham ,GA,18249,33466,41420,47322,35888,33324,35048,26584,12655,5239
Chatham ,NC,3573,8547,7246,6569,8327,10085,10935,10228,5428,2201
Chattahoochee ,GA,898,1211,3152,2686,1120,655,446,276,181,59
Chattooga ,GA,1485,3094,3024,3142,3017,3302,3372,2512,1324,518
Chautauqua ,KS,165,388,323,336,326,350,536,448,312,125
Chautauqua ,NY,6915,14373,17274,14889,13509,15836,19439,14253,7679,3772
Chaves ,NM,4276,9674,9305,8304,7711,7214,7879,5820,3099,1407
Cheatham ,TN,2335,4985,4639,5160,5113,6111,6043,3926,1642,485
Cheboygan ,MI,1006,2316,2545,2388,2458,3266,4507,4074,2119,734
Chelan ,WA,4820,10172,9144,9637,9089,8663,10815,8652,4198,1846
Chemung ,NY,4713,10118,10099,10476,9825,10687,12361,8967,4733,2275
Chenango ,NY,2569,5423,5392,5376,5080,6359,7654,5584,2942,1157
Cherokee ,AL,1206,2830,2803,2754,2769,3590,4100,3545,1899,536
Cherokee ,GA,15017,35586,31940,30588,35022,38303,32313,23007,9667,2706
Cherokee ,IA,655,1417,1099,1204,1135,1245,1845,1345,824,552
Cherokee ,KS,1155,2588,2371,2145,2273,2669,2951,2181,1254,428
Cherokee ,NC,1194,2672,2605,2540,2776,3533,4666,4984,2627,786
Cherokee ,OK,2775,6080,9095,5951,5479,5278,5887,4790,2513,827
Cherokee ,SC,3311,7572,7457,7256,6632,7816,7436,5827,2761,1010
Cherokee ,TX,3744,7348,7191,6285,5994,6359,6440,5352,2828,1051
Cherry ,NE,392,743,622,582,688,643,835,643,413,200
Chesapeake city,VA,15329,32827,30754,34767,33268,31454,32000,19707,9124,3404
Cheshire ,NH,3397,7786,11356,9195,7920,9658,11957,9147,4295,1782
Chester ,PA,28748,67659,68995,60524,64372,72925,73488,49559,24438,11338
Chester ,SC,1826,4163,3705,3892,3520,4413,4677,3593,1782,680
Chester ,TN,944,2144,3002,1963,2025,2086,2146,1695,903,368
Chesterfield ,SC,2558,5716,5503,5372,5189,6500,6521,5199,2422,774
Chesterfield ,VA,20848,46714,45873,41855,46638,48402,46198,32983,14110,4935
Cheyenne ,CO,131,279,194,195,208,204,280,215,104,66
Cheyenne ,KS,180,291,288,247,290,248,399,350,207,160
Cheyenne ,NE,571,1249,985,1124,1116,1109,1348,978,532,298
Chickasaw ,IA,720,1598,1381,1149,1315,1433,1883,1335,786,364
Chickasaw ,MS,1134,2407,2211,2234,1969,2070,2188,1666,943,349
Chicot ,AR,599,1361,1236,1158,1102,1253,1607,1127,677,318
Childress ,TX,353,829,1201,1472,905,661,747,607,374,142
Chilton ,AL,2730,5893,5396,5571,5455,5813,5884,4461,2181,769
Chippewa ,MI,1795,3877,5636,4973,4706,4624,5164,3838,2128,776
Chippewa ,MN,816,1579,1335,1365,1300,1304,1699,1312,784,430
Chippewa ,WI,3508,8156,7023,7890,8076,8440,9517,6800,3294,1431
Chisago ,MN,3253,7164,6562,6799,7019,8275,8238,5179,2473,960
Chittenden ,VT,7714,16146,32335,23234,19099,19746,21625,14342,6889,3442
Choctaw ,AL,673,1391,1443,1304,1382,1683,2012,1668,932,353
Choctaw ,MS,469,1041,898,959,899,1051,1176,986,596,203
Choctaw ,OK,986,1949,1667,1595,1578,1717,2140,1738,938,360
Chouteau ,MT,291,782,680,670,654,582,915,694,330,147
Chowan ,NC,663,1624,1529,1463,1469,1591,2234,1979,1052,425
Christian ,IL,1656,3784,3696,3981,3883,4343,4807,3443,2083,985
Christian ,KY,6882,9862,14465,11906,7157,6151,6457,4872,2784,1135
Christian ,MO,5489,12758,10041,11293,11815,10936,10980,8210,4066,1395
Churchill ,NV,1589,3043,2905,3324,2646,2895,3410,2776,1437,415
Cibola ,NM,1690,3627,3360,3793,3400,3031,3539,2510,1305,491
Cimarron ,OK,139,306,231,214,209,239,267,293,196,59
Citrus ,FL,5633,12420,11738,12669,11448,16235,24081,28867,18566,6272
Clackamas ,OR,22309,51137,47396,51132,55166,55280,58337,46094,20451,8773
Claiborne ,MS,539,1026,2182,968,922,834,1059,871,412,189
Claiborne ,TN,1585,3355,3972,3998,3643,4324,4545,3848,1931,555
Claiborne Parish,LA,852,1570,1759,2477,1985,2058,2197,1717,932,397
Clallam ,WA,3534,7332,6934,8358,7651,7702,12506,13280,6787,2653
Clare ,MI,1653,3397,3131,3220,3124,3750,5141,4401,2235,705
Clarendon ,SC,1555,3667,4238,3773,3399,4104,5050,4713,2508,693
Clarion ,PA,2009,3975,6445,4504,3880,4841,5522,4196,2443,964
Clark ,AR,1161,2356,5418,2438,2121,2327,2553,2049,1180,458
Clark ,ID,47,111,134,97,107,96,109,83,49,19
Clark ,IL,919,1992,1771,1722,1807,2012,2276,1706,950,441
Clark ,IN,7221,14753,13432,16241,15644,15748,15797,11328,5274,1922
Clark ,KS,107,297,243,212,234,208,264,193,156,91
Clark ,KY,2202,4550,4116,4401,4376,5059,5065,3815,1951,714
Clark ,MO,419,894,716,722,761,851,1056,771,445,207
Clark ,NV,139917,292166,269126,332910,308371,296307,264158,201997,96712,29983
Clark ,OH,7930,16891,17568,15745,14553,17084,18692,14920,7856,3346
Clark ,SD,392,478,377,433,352,358,558,441,235,115
Clark ,WA,29559,65516,59155,64060,64321,63069,61647,46709,20282,7539
Clark ,WI,2832,5696,4487,3387,3692,4049,4805,3107,1793,861
Clarke ,AL,1386,2789,3007,2628,2788,3120,3449,2597,1564,592
Clarke ,GA,6662,12144,36113,20992,14419,11570,11471,8528,3844,1587
Clarke ,IA,665,1396,1053,1070,1087,1080,1329,962,509,272
Clarke ,MS,888,1940,1852,1818,1686,1955,2275,1831,1017,342
Clarke ,VA,679,1641,1620,1322,1540,2216,2437,1836,905,327
Clatsop ,OR,2056,4235,4281,4830,4741,4484,6219,5748,2402,768
Clay ,AL,687,1502,1575,1446,1506,1849,1959,1525,914,312
Clay ,AR,924,1759,1664,1690,1652,1913,2066,1736,1082,361
Clay ,FL,11957,28805,26410,27241,27863,29918,29774,21447,9584,3073
Clay ,GA,149,334,276,307,311,295,441,463,229,82
Clay ,IL,798,1725,1451,1531,1497,1634,1924,1522,806,365
Clay ,IN,1624,3325,3022,3188,3151,3358,3827,2691,1414,570
Clay ,IA,983,2071,1737,1859,1925,1810,2405,1704,1021,619
Clay ,KS,520,1070,824,827,936,862,1120,963,555,320
Clay ,KY,1184,2281,2208,3080,2733,2849,2705,1912,880,273
Clay ,MN,4755,8698,11714,8798,8099,6545,6933,4512,2565,1336
Clay ,MS,1091,2516,2398,2558,2222,2274,2747,2090,1060,430
Clay ,MO,15697,33548,29757,36016,34002,32070,30504,20843,10004,3924
Clay ,NE,440,827,708,694,636,688,959,708,351,203
Clay ,NC,481,1065,1009,928,1055,1315,1822,2097,1052,315
Clay ,SD,742,1327,4856,1748,1229,1154,1268,1011,486,220
Clay ,TN,370,931,735,775,783,1101,1145,1035,652,190
Clay ,TX,485,1208,1112,977,1185,1321,1793,1369,728,278
Clay ,WV,473,1100,930,859,1021,1136,1337,1039,547,190
Clayton ,GA,21675,45919,41628,45572,37941,37925,31958,18412,6691,1894
Clayton ,IA,964,2118,1804,1739,1752,2029,2977,2246,1272,655
Clear Creek ,CO,374,828,747,1141,1251,1444,1867,1358,455,140
Clearfield ,PA,3685,8146,8819,9611,9450,11392,11994,8963,5072,2256
Clearwater ,ID,337,796,838,919,898,1125,1456,1386,744,259
Clearwater ,MN,545,1281,957,912,1011,983,1339,944,601,237
Cleburne ,AL,894,1922,1662,1750,1752,2076,2016,1692,884,339
Cleburne ,AR,1095,2763,2430,2422,2655,3016,3897,3568,2266,853
Clermont ,OH,11805,26974,24310,25706,25536,27662,29940,20293,9603,3637
Cleveland ,AR,412,1016,913,860,920,1042,1172,983,527,173
Cleveland ,NC,5460,12205,12564,11481,10547,13541,13663,10865,5587,1732
Cleveland ,OK,15130,34824,51408,41727,37003,31742,32176,22784,10707,4168
Clinch ,GA,438,961,852,852,784,865,819,680,317,80
Clinton ,IL,2172,4420,4258,5029,4763,5025,5489,3575,1946,962
Clinton ,IN,2270,4687,4035,3969,3751,3899,4260,2923,1606,850
Clinton ,IA,2773,5980,5369,5165,5243,5809,7019,4990,2874,1296
Clinton ,KY,612,1258,1152,1184,1165,1372,1473,1152,671,167
Clinton ,MI,4452,10040,9902,9590,9751,10875,11280,7955,3962,1525
Clinton ,MO,1239,2688,2360,2318,2412,2708,3042,2098,1106,499
Clinton ,NY,3914,8107,12935,10205,9506,10624,11640,7976,4122,1666
Clinton ,OH,2516,5464,5711,4833,4930,5395,6032,4221,2102,853
Clinton ,PA,2054,4404,6921,4317,3970,4528,5258,3956,2345,931
Cloud ,KS,488,1163,1136,989,905,946,1217,954,592,339
Coahoma ,MS,1783,3365,3289,2783,2472,2525,2919,2057,1035,400
Coal ,OK,384,725,640,619,615,614,802,631,343,147
Cobb ,GA,46903,100154,99090,111023,106877,107811,92230,58971,24858,8948
Cochise ,AZ,7409,15304,15888,15804,13896,13386,16757,16152,9205,2969
Cochran ,TX,205,431,360,387,297,328,365,238,173,52
Cocke ,TN,1889,4099,3784,3945,3918,5040,5563,4611,2292,633
Coconino ,AZ,7882,16647,33584,20286,15773,14435,16392,11394,4827,1634
Codington ,SD,1760,3915,3251,3510,3356,3338,3936,2650,1509,790
Coffee ,AL,3211,6892,6315,6597,6660,6925,6508,5178,2653,970
Coffee ,GA,2994,5784,5971,6253,5571,5642,4948,3724,1657,549
Coffee ,TN,3519,7598,6612,6877,6724,7262,7488,5475,3068,1077
Coffey ,KS,467,998,929,879,906,1024,1264,1014,536,216
Coke ,TX,197,373,376,348,316,365,476,490,331,98
Colbert ,AL,3108,6339,6232,6937,6321,7166,7745,6135,3493,1286
Cole ,MO,4574,9684,9493,10421,9858,9905,10127,7520,3606,1608
Coleman ,TX,436,1002,887,776,871,966,1363,1202,661,233
Coles ,IL,2515,5127,10159,6750,5519,5519,6687,4740,2631,1238
Colfax ,NE,979,1757,1400,1372,1440,1201,1267,798,435,232
Colfax ,NM,582,1259,1189,1311,1132,1385,2003,1895,986,368
Colleton ,SC,2252,4725,4335,4455,4020,4782,5496,4667,2208,720
Collier ,FL,16634,36472,36496,35930,36717,43559,50745,59847,44839,17249
Collin ,TX,62230,150747,130349,128334,159208,151668,111955,69368,31239,10048
Collingsworth ,TX,179,473,390,328,325,327,381,310,175,74
Colonial Heights city,VA,1251,2318,2116,2279,1984,2130,2260,1779,1161,555
Colorado ,TX,1366,2659,2504,2274,2178,2406,3132,2595,1456,647
Colquitt ,GA,3069,6893,5890,5917,5767,5769,5233,4205,2079,770
Columbia ,AR,1360,2710,4889,2645,2371,2571,2890,2224,1307,570
Columbia ,FL,4191,8605,8662,9230,8235,8497,9769,7710,4118,1486
Columbia ,GA,9767,22505,19101,21647,21549,20337,18552,13008,5800,2025
Columbia ,NY,2500,5710,6274,6491,6290,8385,10011,8190,4187,1878
Columbia ,OR,2826,6182,5917,6055,6426,7100,8062,6052,2817,940
Columbia ,PA,2971,6568,12041,7038,6771,8071,9216,7232,3792,1756
Columbia ,WA,205,423,378,410,395,482,635,638,360,133
Columbia ,WI,3068,6875,6514,6792,7122,7988,8749,6062,2990,1198
Columbiana ,OH,5280,11754,11293,11754,11996,13469,16069,12135,6251,2664
Columbus ,NC,2901,6528,6868,6856,6489,7165,7657,6574,3476,1141
Colusa ,CA,1543,3350,3007,2881,2612,2540,2531,1806,961,396
Comal ,TX,8630,18996,17267,17038,17964,19845,21804,16768,7421,2640
Comanche ,KS,85,255,186,161,175,191,248,249,138,60
Comanche ,OK,8293,15772,19400,19853,14857,13094,13961,8679,4648,1865
Comanche ,TX,757,1751,1504,1336,1364,1699,1834,1807,1115,367
Concho ,TX,117,293,409,724,850,633,494,433,243,80
Concordia Parish,LA,1242,2643,2546,2679,2257,2156,2670,1945,1039,395
Conecuh ,AL,652,1441,1395,1357,1265,1488,1917,1553,884,325
Conejos ,CO,533,1228,1076,883,882,879,1137,941,484,157
Contra Costa ,CA,64973,148140,139695,147008,155434,161487,152035,106437,51764,23242
Converse ,WY,873,1923,1530,1668,1674,1689,2016,1379,660,228
Conway ,AR,1222,2624,2309,2503,2407,2675,3056,2265,1303,527
Cook ,GA,1095,2463,2227,2091,2081,2255,2111,1670,903,266
Cook ,IL,317226,624965,644152,845963,701489,649582,638949,432616,221185,104366
Cook ,MN,256,465,433,543,547,620,989,987,390,163
Cooke ,TX,2779,5178,5149,4931,4442,4803,5772,4416,2285,819
Cooper ,MO,947,2122,2432,2378,2090,2081,2398,1753,943,459
Coos ,NH,1256,2869,3208,3489,3416,4435,5422,4352,2150,992
Coos ,OR,3194,6616,6283,7113,6887,7167,10503,9729,5154,1743
Coosa ,AL,488,959,1061,1100,1134,1564,1928,1447,764,270
Copiah ,MS,1709,3740,4069,3421,3243,3333,3993,2989,1437,609
Corson ,SD,429,869,574,509,431,401,481,281,146,44
Cortland ,NY,2527,5047,10329,5307,4902,5623,6198,4549,2338,1003
Coryell ,TX,5108,9439,11906,14517,11101,8425,6643,4590,2393,686
Coshocton ,OH,2363,4815,4175,4172,4091,4635,5247,3997,2278,856
Costilla ,CO,173,409,394,369,341,427,670,619,325,101
Cottle ,TX,75,173,153,135,152,142,221,179,117,42
Cotton ,OK,321,754,635,655,634,755,903,634,372,113
Cottonwood ,MN,773,1505,1330,1075,1186,1260,1576,1289,829,454
Covington ,AL,2203,4528,3966,4342,4029,4629,5499,4326,2485,979
Covington ,MS,1230,2636,2326,2439,2227,2338,2472,1803,1016,366
Covington city,VA,130,648,656,700,601,736,829,661,365,134
Coweta ,GA,8758,20362,18558,18046,19204,21953,18741,12617,5946,1679
Cowley ,KS,2154,4735,4940,4263,4038,4055,4613,3548,1925,947
Cowlitz ,WA,6749,13890,12570,13429,12904,13328,15491,12367,6023,2236
Craig ,OK,815,1765,1712,1726,1643,1867,1978,1482,983,335
Craig ,VA,195,509,540,510,514,768,843,716,336,133
Craighead ,AR,7597,15051,15884,16739,13889,12467,11901,8651,4534,1845
Crane ,TX,382,802,678,624,605,553,578,308,184,80
Craven ,NC,6440,12213,15997,13910,11106,10598,13048,11336,5938,2326
Crawford ,AR,3970,8806,7726,8006,7726,8211,8414,6137,3326,1084
Crawford ,GA,599,1455,1350,1471,1332,1741,2054,1488,672,156
Crawford ,IL,1007,2101,2046,2612,2365,2436,2683,1956,1122,479
Crawford ,IN,564,1312,1141,1138,1195,1430,1717,1283,608,170
Crawford ,IA,1195,2396,2292,2056,1969,1965,2279,1613,916,477
Crawford ,KS,2437,4627,8494,4519,4318,4099,4470,3306,1822,927
Crawford ,MI,643,1366,1332,1311,1280,1828,2571,2056,1133,381
Crawford ,MO,1360,3103,2749,2652,2716,3002,3664,2747,1428,536
Crawford ,OH,2361,5026,4743,4612,4720,5380,5986,4813,2788,1121
Crawford ,PA,4575,9724,10984,9384,9068,11063,12762,10345,5217,1941
Crawford ,WI,774,1886,1860,1676,1730,2022,2557,2176,1148,462
Creek ,OK,4546,9556,8679,8577,8593,9096,9919,7248,3908,1482
Crenshaw ,AL,798,1798,1607,1641,1585,1767,1999,1605,721,303
Crisp ,GA,1428,3089,2718,2641,2653,2752,3103,2490,1207,520
Crittenden ,AR,3686,7164,6540,6414,5715,5907,6078,4059,2031,748
Crittenden ,KY,471,1154,985,925,1067,1142,1319,1063,596,193
Crockett ,TN,833,1944,1676,1713,1675,1824,1971,1499,850,343
Crockett ,TX,235,496,397,385,438,445,483,356,201,63
Crook ,OR,1315,2608,2320,2479,2682,2698,3821,3675,1716,553
Crook ,WY,536,994,699,769,745,901,1269,940,438,159
Crosby ,TX,385,886,737,661,667,618,744,567,376,138
Cross ,AR,1047,2203,1990,1909,2032,2085,2280,1799,964,367
Crow Wing ,MN,3655,7949,6810,7207,7237,7515,9967,8209,4582,1758
Crowley ,CO,147,428,677,1220,1031,894,658,471,231,101
Culberson ,TX,155,253,281,256,211,272,303,265,139,69
Cullman ,AL,5162,10334,9635,10770,10023,10700,11372,9077,4919,1450
Culpeper ,VA,3386,7281,6145,6243,6654,7069,6922,4947,2389,823
Cumberland ,IL,653,1341,1148,1238,1268,1354,1689,1169,639,309
Cumberland ,KY,404,806,667,725,687,849,1065,836,470,150
Cumberland ,ME,14283,30603,35147,40166,36093,39991,43113,31898,15300,6963
Cumberland ,NJ,9497,20715,18115,21607,19612,19739,18634,13173,6859,3021
Cumberland ,NC,25155,44391,55561,56991,39420,35741,35454,23445,11971,4201
Cumberland ,PA,13614,28634,32744,33043,30763,32414,33666,26098,13887,6560
Cumberland ,TN,2703,5978,5326,5901,5354,6928,9176,10429,6166,1712
Cumberland ,VA,468,1061,1102,1153,1010,1354,1462,1317,665,217
Cuming ,NE,596,1205,1114,879,931,999,1251,934,641,390
Currituck ,NC,1545,3445,2878,3319,3207,3940,4340,2821,1216,361
Curry ,NM,3986,7102,7936,8500,5797,4786,5128,3443,1949,810
Curry ,OR,906,1823,1702,2008,1919,2466,4189,4646,2376,778
Custer ,CO,163,370,386,369,413,513,1146,1145,360,89
Custer ,ID,205,397,358,383,431,463,800,785,346,112
Custer ,MT,692,1297,1416,1411,1357,1360,1740,1275,686,352
Custer ,NE,701,1468,1177,1154,1162,1169,1578,1301,718,412
Custer ,OK,2075,3995,6007,3716,3238,2784,3203,2212,1207,599
Custer ,SD,350,665,691,680,842,1073,1804,1673,717,231
Cuyahoga ,OH,71339,141634,153576,176115,143095,154222,177893,125447,66632,33904
Dade ,GA,794,1784,2488,1828,1816,2044,2340,1841,975,316
Dade ,MO,366,890,814,702,833,949,1225,996,572,222
Daggett ,UT,48,125,104,73,102,116,161,160,56,35
Dakota ,MN,27600,58428,51215,55688,56962,57071,58177,36209,16853,7220
Dakota ,NE,1744,3077,2818,2729,2289,2344,2347,1575,859,301
Dale ,AL,3268,6102,6123,7197,5673,5903,6420,4778,2594,898
Dallam ,TX,697,1196,990,1035,803,921,734,503,231,90
Dallas ,AL,2335,5135,5011,4483,4246,4522,5657,4138,2082,701
Dallas ,AR,376,877,785,771,747,843,1118,929,490,246
Dallas ,IA,6945,14288,10328,13028,14387,11413,8978,6286,3060,1467
Dallas ,MO,1090,2194,1832,1814,1781,2019,2634,1922,1068,408
Dallas ,TX,196910,381737,362572,436449,362041,327199,287710,173405,77914,31835
Dane ,WI,30571,61900,91146,85680,71901,63477,63256,45670,19539,9224
Daniels ,MT,90,217,155,187,177,170,288,230,139,94
Danville city,VA,2344,5015,4991,5184,4043,4765,5833,4658,2524,1336
Dare ,NC,1647,4029,3463,3702,4354,4996,6491,5113,2025,681
Darke ,OH,3144,6848,6103,5469,5755,6596,7330,5473,3267,1338
Darlington ,SC,3891,8243,8440,7841,7538,8683,9488,7648,3745,1285
Dauphin ,PA,17190,34562,32758,38560,33112,35213,38700,27634,13209,6159
Davidson ,NC,9297,20547,19422,19209,19331,24538,23893,17825,9353,3199
Davidson ,TN,45764,77475,88449,140631,95361,80687,79425,51591,23152,10052
Davie ,NC,2086,5173,4916,4145,4738,6310,6321,5088,2768,1188
Daviess ,IN,2693,5444,4329,4186,3742,3623,4050,2895,1555,630
Daviess ,KY,6827,13842,12248,13024,11953,12439,13643,9787,5096,2245
Daviess ,MO,557,1170,1028,857,886,940,1176,1010,501,188
Davis ,IA,809,1433,1087,974,976,967,1158,852,518,243
Davis ,UT,29686,64916,50732,49236,52205,36279,33342,21116,10345,3856
Davison ,SD,1254,2573,2640,2508,2276,2087,2728,1891,1108,725
Dawes ,NE,433,830,2244,885,816,787,1105,809,532,275
Dawson ,GA,1355,2889,2824,3004,2806,3576,3584,3203,1506,336
Dawson ,MT,528,1030,1054,1091,973,963,1317,943,501,280
Dawson ,NE,1895,3456,3077,3009,2787,2657,2881,2241,1129,577
